system,source,target,seed,k,n_shot_actual,macro_f1,accuracy,recall_class_0,recall_class_1,n_eval_clean,adapt_seconds,config_hash
fgm,banglasarc_binary,banglasarc3_binary,42,50,50,0.5888642769106125,0.589238845144357,0.6361185983827493,0.5447570332480819,762,3.11767840385437,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,42,100,100,0.6409748385883101,0.6417322834645669,0.706199460916442,0.5805626598465473,762,3.0681517124176025,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,42,250,250,0.6484321138175726,0.6548556430446194,0.8113207547169812,0.5063938618925832,762,3.6083669662475586,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,42,500,500,0.6992010204873171,0.699475065616798,0.7493261455525606,0.6521739130434783,762,7.67516827583313,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,42,1000,1000,0.7176333110997358,0.7178477690288714,0.7654986522911051,0.6726342710997443,762,7.3046112060546875,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,1,0,0,0.3418673206772885,0.49941474834178695,0.9890710382513661,0.01014040561622465,2563,0.0,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,1,25,24,0.5604513918555308,0.5676941084666407,0.6963309914129586,0.4391575663026521,2563,2.5431432723999023,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,1,50,50,0.5809788740944908,0.5875926648458837,0.7135050741608119,0.46177847113884557,2563,4.660732269287109,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,1,100,100,0.623817188174328,0.6336324619586422,0.795472287275566,0.4719188767550702,2563,4.211331129074097,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,1,250,250,0.6562064197898783,0.6586031993757315,0.7423887587822015,0.5748829953198128,2563,3.6767871379852295,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,1,500,500,0.680947745748363,0.6866952789699571,0.8212334113973458,0.5522620904836193,2563,9.693556547164917,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,1,1000,1000,0.7207138047138048,0.722200546234881,0.795472287275566,0.6489859594383776,2563,8.550143241882324,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,1,0,0,0.33408728730787024,0.4868766404199475,0.9919137466307277,0.0076726342710997444,762,0.0,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,1,25,25,0.5144601921150332,0.5459317585301837,0.8221024258760108,0.28388746803069054,762,2.413588523864746,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,1,50,50,0.590751881935345,0.5971128608923885,0.7412398921832885,0.46035805626598464,762,3.6007180213928223,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,1,100,100,0.6299354086736924,0.6325459317585301,0.7358490566037735,0.5345268542199488,762,4.092024564743042,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,1,250,250,0.6785143687104471,0.6797900262467191,0.7628032345013477,0.6010230179028133,762,4.084726810455322,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,1,500,500,0.6938847600379562,0.6955380577427821,0.7897574123989218,0.6061381074168798,762,6.652816534042358,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,1,1000,1000,0.7263553075106823,0.7283464566929134,0.8355795148247979,0.6265984654731458,762,10.922250747680664,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,7,0,0,0.351595164227209,0.5021459227467812,0.9843871975019516,0.0202808112324493,2563,0.0,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,7,25,24,0.563354555110263,0.573936792820913,0.7298985167837627,0.41809672386895474,2563,2.548758029937744,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,7,50,50,0.5914935064935065,0.5996878657822864,0.741608118657299,0.4578783151326053,2563,3.059483289718628,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,7,100,100,0.6096760203746379,0.6156847444401092,0.7400468384074942,0.4914196567862715,2563,4.635837554931641,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,7,250,250,0.6694582433077659,0.6710885680842762,0.741608118657299,0.6006240249609984,2563,5.383753299713135,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,7,500,500,0.6901973134252323,0.6944986344127975,0.8126463700234192,0.5764430577223089,2563,8.640122890472412,6970de89ef36b0ad
fgm,banglasarc_binary,ben_sarc_binary,7,1000,1000,0.7186601221817075,0.7206398751463129,0.804839968774395,0.6365054602184087,2563,9.92674446105957,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,7,0,0,0.3316130866067245,0.4816272965879265,0.9811320754716981,0.0076726342710997444,762,0.0,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,7,25,25,0.5545338199744039,0.562992125984252,0.7196765498652291,0.4143222506393862,762,2.5505292415618896,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,7,50,50,0.5711149884617549,0.5800524934383202,0.7439353099730458,0.42455242966751916,762,2.752101182937622,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,7,100,100,0.5924848823796707,0.5984251968503937,0.738544474393531,0.46547314578005117,762,3.717470407485962,6970de89ef36b0ad
fgm,banglasarc_binary,banglasarc3_binary,7,250,250,0.6689124460149195,0.6732283464566929,0.8086253369272237,0.5447570332480819,762,3.3181118965148926,6970de89ef36b0ad
