system,protocol,source,held_out_corpus,target,seed,held_out,n_removed_all_source,n_eval_clean,epochs_budget,best_epoch,val_macro_f1,test_macro_f1,test_accuracy,test_recall_class_1,temperature,ece,train_seconds,prediction_path
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,ben_sarc_binary,123,False,0,2563,8,2,0.7783107749097258,0.7997615082546927,0.7998439328911432,0.8198127925117005,1.3670647845894541,0.04111506841888292,217.83420133590698,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed123_to_ben_sarc_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,banglasarc_binary,123,True,28,436,8,2,0.7783107749097258,0.5904261004078188,0.6169724770642202,0.4759036144578313,1.3670647845894541,0.2124296959276531,217.83420133590698,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed123_to_banglasarc_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,banglasarc3_binary,123,False,0,791,8,2,0.7783107749097258,0.733233702818691,0.7332490518331226,0.7417721518987341,1.3670647845894541,0.07668075620354504,217.83420133590698,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed123_to_banglasarc3_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,ben_sarc_binary,2024,False,0,2563,8,3,0.7763005922263355,0.7947714706742011,0.794771751853297,0.7956318252730109,1.6233417937735843,0.06825703151911747,272.8243451118469,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed2024_to_ben_sarc_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,banglasarc_binary,2024,True,28,436,8,3,0.7763005922263355,0.6109244891579276,0.6399082568807339,0.4819277108433735,1.6233417937735843,0.21746211435125254,272.8243451118469,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed2024_to_banglasarc_binary.csv
dann_matched,loco,banglasarc3_binary+ben_sarc_binary,banglasarc_binary,banglasarc3_binary,2024,False,0,791,8,3,0.7763005922263355,0.7456164350685195,0.7458912768647282,0.7139240506329114,1.6233417937735843,0.118202428781986,272.8243451118469,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc3_binary+ben_sarc_binary_seed2024_to_banglasarc3_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,ben_sarc_binary,42,False,0,2563,8,3,0.7942547065475156,0.772008778517871,0.7744830277019118,0.6700468018720749,1.9020349700725094,0.10606553845266159,244.92985653877258,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed42_to_ben_sarc_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,banglasarc_binary,42,False,0,464,8,3,0.7942547065475156,0.9042979492417695,0.9094827586206896,0.9457831325301205,1.9020349700725094,0.05805954125013109,244.92985653877258,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed42_to_banglasarc_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,banglasarc3_binary,42,True,29,762,8,3,0.7942547065475156,0.6262098624558912,0.6338582677165354,0.4782608695652174,1.9020349700725094,0.25910893993940565,244.92985653877258,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed42_to_banglasarc3_binary.csv
dann_matched,loco,banglasarc_binary+ben_sarc_binary,banglasarc3_binary,ben_sarc_binary,1,False,0,2563,8,1,0.7920962199312716,0.7928138807962403,0.7936012485368709,0.8549141965678627,0.9510935251987315,0.01844531491041558,148.6916172504425,04_outputs/predictions/20_dann_matched/20_dannmatched_banglasarc_binary+ben_sarc_binary_seed1_to_ben_sarc_binary.csv
