encoder,system,source,target,seed,in_domain,n_removed_all_source,n_eval_clean,test_macro_f1,test_accuracy,test_recall_class_1,train_seconds
xlm-roberta-base,vanilla,banglasarc_binary,ben_sarc_binary,1,False,0,2563,0.35249100223098034,0.4927818962153726,0.027301092043681748,104.63128662109375
xlm-roberta-base,vanilla,banglasarc_binary,banglasarc_binary,1,True,0,464,0.9374122607622635,0.9418103448275862,0.9457831325301205,104.63128662109375
xlm-roberta-base,vanilla,banglasarc_binary,banglasarc3_binary,1,False,29,762,0.36465789271146004,0.4881889763779528,0.04603580562659847,104.63128662109375
xlm-roberta-base,vanilla,banglasarc_binary,ben_sarc_binary,7,False,0,2563,0.35786555412761994,0.49980491611392897,0.029641185647425898,91.76452994346619
xlm-roberta-base,vanilla,banglasarc_binary,banglasarc_binary,7,True,0,464,0.9393500643500643,0.9439655172413793,0.9337349397590361,91.76452994346619
xlm-roberta-base,vanilla,banglasarc_binary,banglasarc3_binary,7,False,29,762,0.3552572202166065,0.4881889763779528,0.03324808184143223,91.76452994346619
xlm-roberta-base,vanilla,banglasarc_binary,ben_sarc_binary,123,False,0,2563,0.3443969225870732,0.4978540772532189,0.014040561622464899,91.47928190231323
xlm-roberta-base,vanilla,banglasarc_binary,banglasarc_binary,123,True,0,464,0.9430954132940887,0.9482758620689655,0.9036144578313253,91.47928190231323
xlm-roberta-base,vanilla,banglasarc_binary,banglasarc3_binary,123,False,29,762,0.33122460785844854,0.4763779527559055,0.010230179028132993,91.47928190231323
xlm-roberta-base,vanilla,banglasarc_binary,ben_sarc_binary,2024,False,0,2563,0.348803468729668,0.49902458056964494,0.0187207488299532,106.92826652526855
xlm-roberta-base,vanilla,banglasarc_binary,banglasarc_binary,2024,True,0,464,0.941137965504818,0.9461206896551724,0.9156626506024096,106.92826652526855
xlm-roberta-base,vanilla,banglasarc_binary,banglasarc3_binary,2024,False,29,762,0.34063356525405863,0.48293963254593175,0.017902813299232736,106.92826652526855
xlm-roberta-base,vanilla,banglasarc3_binary,ben_sarc_binary,42,False,0,2563,0.660769382607943,0.6617245415528678,0.7145085803432137,100.50820064544678
xlm-roberta-base,vanilla,banglasarc3_binary,banglasarc_binary,42,False,28,436,0.5061300639658849,0.5321100917431193,0.39759036144578314,100.50820064544678
xlm-roberta-base,vanilla,banglasarc3_binary,banglasarc3_binary,42,True,0,791,0.7180134828155649,0.718078381795196,0.7037974683544304,100.50820064544678
xlm-roberta-base,vanilla,banglasarc3_binary,ben_sarc_binary,1,False,0,2563,0.6468431359637892,0.647288333983613,0.6825273010920437,118.66938209533691
xlm-roberta-base,vanilla,banglasarc3_binary,banglasarc_binary,1,False,28,436,0.5413612926589525,0.5802752293577982,0.3795180722891566,118.66938209533691
xlm-roberta-base,vanilla,banglasarc3_binary,banglasarc3_binary,1,True,0,791,0.7342478113960988,0.7345132743362832,0.7037974683544304,118.66938209533691
xlm-roberta-base,vanilla,banglasarc3_binary,ben_sarc_binary,7,False,0,2563,0.6418216645486832,0.648849005072181,0.7886115444617785,120.86612510681152
xlm-roberta-base,vanilla,banglasarc3_binary,banglasarc_binary,7,False,28,436,0.538135593220339,0.5412844036697247,0.6024096385542169,120.86612510681152
xlm-roberta-base,vanilla,banglasarc3_binary,banglasarc3_binary,7,True,0,791,0.7145140500128899,0.7168141592920354,0.8075949367088607,120.86612510681152
xlm-roberta-base,vanilla,banglasarc3_binary,ben_sarc_binary,123,False,0,2563,0.6400337926353259,0.6402653140850566,0.6653666146645866,160.50876545906067
xlm-roberta-base,vanilla,banglasarc3_binary,banglasarc_binary,123,False,28,436,0.5902255639097744,0.6100917431192661,0.5120481927710844,160.50876545906067
xlm-roberta-base,vanilla,banglasarc3_binary,banglasarc3_binary,123,True,0,791,0.7165309988225055,0.7168141592920354,0.6860759493670886,160.50876545906067
xlm-roberta-base,vanilla,banglasarc3_binary,ben_sarc_binary,2024,False,0,2563,0.6373231132345486,0.6383144752243465,0.6903276131045242,141.36560010910034
xlm-roberta-base,vanilla,banglasarc3_binary,banglasarc_binary,2024,False,28,436,0.54384157943525,0.5573394495412844,0.5060240963855421,141.36560010910034
xlm-roberta-base,vanilla,banglasarc3_binary,banglasarc3_binary,2024,True,0,791,0.7306362262884002,0.7307206068268015,0.7493670886075949,141.36560010910034
