system,source,target,seed,in_domain_macro_f1,transfer_macro_f1,absolute_drop,relative_drop
vanilla,banglasarc3_binary,banglasarc_binary,1,0.7464339275847682,0.6538852926289991,0.09254863495576915,0.12398771215454824
vanilla,banglasarc3_binary,ben_sarc_binary,7,0.7671504633184867,0.6724928885641777,0.09465757475430903,0.12338853885956844
vanilla,banglasarc3_binary,banglasarc_binary,7,0.7671504633184867,0.6888638497652582,0.07828661355322852,0.10204857755619631
vanilla,banglasarc3_binary,ben_sarc_binary,42,0.7661053792486154,0.6695372938702107,0.09656808537840478,0.12605065568540622
vanilla,banglasarc3_binary,banglasarc_binary,42,0.7661053792486154,0.6277175697865354,0.13838780946208007,0.18063808610482376
vanilla,banglasarc3_binary,ben_sarc_binary,123,0.7593789225606475,0.6542961447353197,0.10508277782532782,0.13837989797107572
vanilla,banglasarc3_binary,banglasarc_binary,123,0.7593789225606475,0.6015239605355884,0.1578549620250591,0.2078737733367258
vanilla,banglasarc3_binary,ben_sarc_binary,2024,0.7635767887540059,0.6710739493549076,0.09250283939909831,0.1211441216672434
vanilla,banglasarc3_binary,banglasarc_binary,2024,0.7635767887540059,0.6353629913400058,0.12821379741400007,0.16791212004128306
vanilla,banglasarc_binary,ben_sarc_binary,1,0.9742397860044918,0.3423593061848574,0.6318804798196345,0.6485882519857602
vanilla,banglasarc_binary,banglasarc3_binary,1,0.9742397860044918,0.3340872873078702,0.6401524986966216,0.6570789941991448
vanilla,banglasarc_binary,ben_sarc_binary,7,0.9695561107325812,0.350388697425178,0.6191674133074032,0.6386091598551941
vanilla,banglasarc_binary,banglasarc3_binary,7,0.9695561107325812,0.342574388508258,0.6269817222243232,0.646668836680928
vanilla,banglasarc_binary,ben_sarc_binary,42,0.9718605967494138,0.3484234939492279,0.6234371028001859,0.6414881978808469
vanilla,banglasarc_binary,banglasarc3_binary,42,0.9718605967494138,0.3432195898161245,0.6286410069332893,0.6468427766656117
vanilla,banglasarc_binary,ben_sarc_binary,123,0.9695561107325812,0.343006458082034,0.6265496526505472,0.6462232001994564
vanilla,banglasarc_binary,banglasarc3_binary,123,0.9695561107325812,0.3362472848788638,0.6333088258537174,0.6531946102378741
vanilla,banglasarc_binary,ben_sarc_binary,2024,0.9788096675817344,0.3467017160149827,0.6321079515667517,0.6457925095166351
vanilla,banglasarc_binary,banglasarc3_binary,2024,0.9788096675817344,0.3306810841738951,0.6481285834078393,0.6621599733573514
vanilla,ben_sarc_binary,banglasarc_binary,1,0.7997029406589691,0.602753487635534,0.19694945302343503,0.2462782653533139
vanilla,ben_sarc_binary,banglasarc3_binary,1,0.7997029406589691,0.6306764397369969,0.16902650092197213,0.21136160982813365
vanilla,ben_sarc_binary,banglasarc_binary,7,0.7895683587481434,0.608218406980017,0.1813499517681264,0.2296823951451852
vanilla,ben_sarc_binary,banglasarc3_binary,7,0.7895683587481434,0.6503900995426419,0.13917825920550142,0.17627132301270007
vanilla,ben_sarc_binary,banglasarc_binary,42,0.788894039982126,0.6135967900673782,0.17529724991474782,0.22220633067365997
vanilla,ben_sarc_binary,banglasarc3_binary,42,0.788894039982126,0.6586331901181526,0.13026084986397346,0.16511830900246727
vanilla,ben_sarc_binary,banglasarc_binary,123,0.7994745662907098,0.5933601402206413,0.20611442607006847,0.2578123617194845
vanilla,ben_sarc_binary,banglasarc3_binary,123,0.7994745662907098,0.6526698717948718,0.146804694495838,0.1836264725430377
vanilla,ben_sarc_binary,banglasarc_binary,2024,0.7794225562620212,0.5352804342207289,0.24414212204129226,0.31323461205967223
vanilla,ben_sarc_binary,banglasarc3_binary,2024,0.7794225562620212,0.6281793712732939,0.15124318498872724,0.19404517328067075
