system,protocol,source,target,held_out,seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,accuracy_mean,recall_class_1_mean,ece_mean,ece_temperature_scaled_mean,n_eval_clean
vanilla,loco,ben_sarc_binary+banglasarc3_binary,banglasarc3_binary,False,5,0.7319640697310494,0.009565322297097981,0.7200871534035271,0.7438409860585717,0.7324905183312264,0.7240506329113925,0.09028020079608955,0.047721830528758294,791
vanilla,loco,ben_sarc_binary+banglasarc_binary,banglasarc3_binary,True,5,0.6470233642033223,0.012344216008932478,0.6316959955989803,0.6623507328076643,0.6485564304461942,0.5800511508951407,0.22400974196271356,0.14911683593844322,762
vanilla,loco,banglasarc_binary+banglasarc3_binary,banglasarc_binary,False,5,0.9221153804923128,0.013302828503164957,0.905597737265654,0.9386330237189716,0.9262931034482758,0.9686746987951806,0.04966162617529298,0.06922962467010266,464
vanilla,loco,ben_sarc_binary+banglasarc3_binary,banglasarc_binary,True,5,0.5942174827806314,0.027574183016910777,0.5599796124486516,0.6284553531126111,0.626605504587156,0.4602409638554216,0.1982333092464369,0.1546997141829314,436
vanilla,loco,ben_sarc_binary+banglasarc_binary,banglasarc_binary,False,5,0.8691403201507985,0.017777561788319678,0.8470665617023989,0.891214078599198,0.8741379310344828,0.9469879518072288,0.06790050615632034,0.07382837933058707,464
vanilla,loco,banglasarc_binary+banglasarc3_binary,ben_sarc_binary,True,5,0.5017854816928706,0.017227861333157266,0.4803942665094425,0.5231766968762988,0.5603589543503705,0.21887675507020274,0.3667255528494587,0.31716421761150465,2563
vanilla,loco,ben_sarc_binary+banglasarc3_binary,ben_sarc_binary,False,5,0.7940309539283407,0.006653833052508854,0.7857691289769821,0.8022927788796992,0.7944596176355834,0.7839313572542902,0.04707524145905302,0.0215750365547833,2563
vanilla,loco,ben_sarc_binary+banglasarc_binary,ben_sarc_binary,False,5,0.7889891190374199,0.010529555781719614,0.7759149487061803,0.8020632893686594,0.7893094030433087,0.7633385335413416,0.09202383732445693,0.027305215023038974,2563
vanilla,pooled_all,ben_sarc_binary+banglasarc_binary+banglasarc3_binary,banglasarc3_binary,False,5,0.7384916480974388,0.0022589036263680378,0.7356868487891657,0.741296447405712,0.7390644753476611,0.7017721518987342,0.09441058056170377,0.043661923436315545,791
vanilla,pooled_all,ben_sarc_binary+banglasarc_binary+banglasarc3_binary,banglasarc_binary,False,5,0.8714761543230051,0.004045617504950813,0.8664528567166047,0.8764994519294055,0.8762931034482758,0.9542168674698794,0.0476743439551962,0.055794417153947874,464
vanilla,pooled_all,ben_sarc_binary+banglasarc_binary+banglasarc3_binary,ben_sarc_binary,False,5,0.7862094253462903,0.004870629324561447,0.7801617402653869,0.7922571104271938,0.7865001950838861,0.753198127925117,0.06303705823416242,0.02079291654500142,2563
