system,source,target,k,seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,target_trained_ceiling,retention,recall_class_1_mean
fgm,banglasarc_binary,ben_sarc_binary,25,3,0.5581793026605611,0.006610919936003684,0.5417568671383758,0.5746017381827465,0.7997501675192368,0.6979420890801313,0.46255850234009355
fgm,banglasarc_binary,ben_sarc_binary,50,3,0.5802672210724943,0.011598497933931286,0.5514549549555143,0.6090794871894742,0.7997501675192368,0.7255606121001992,0.48985959438377535
fgm,banglasarc_binary,ben_sarc_binary,100,3,0.6174055779703864,0.007162115307674559,0.5996138972389082,0.6351972587018646,0.7997501675192368,0.7719980602011386,0.4945397815912636
fgm,banglasarc_binary,ben_sarc_binary,250,3,0.656619958814118,0.012636590981035587,0.6252289266105524,0.6880109910176837,0.7997501675192368,0.8210313488909948,0.5491419656786272
fgm,banglasarc_binary,ben_sarc_binary,500,3,0.6922599255442287,0.012472065571774382,0.661277597114345,0.7232422539741123,0.7997501675192368,0.8655952241830289,0.5837233489339573
fgm,banglasarc_binary,ben_sarc_binary,1000,3,0.7146791239132616,0.008734401719374008,0.6929816672128566,0.7363765806136666,0.7997501675192368,0.8936279765093904,0.6229849193967759
fgm,ben_sarc_binary,banglasarc3_binary,0,3,0.6526323278276839,0.005116832629528844,0.6399214109281142,0.6653432447272536,0.7617231094637973,0.8567842037602008,0.649789029535865
fgm,ben_sarc_binary,banglasarc3_binary,25,3,0.6862555131166745,0.01915876319779434,0.6386625069471291,0.73384851928622,0.7617231094637973,0.9009251584867276,0.6270042194092827
fgm,ben_sarc_binary,banglasarc3_binary,50,3,0.7148213833544029,0.030711153039567438,0.6385306499184231,0.7911121167903827,0.7617231094637973,0.9384268042722111,0.6776371308016876
fgm,ben_sarc_binary,banglasarc3_binary,100,3,0.7105430010781367,0.01214210118951941,0.6803803496137368,0.7407056525425366,0.7617231094637973,0.9328100884037929,0.6658227848101266
fgm,ben_sarc_binary,banglasarc3_binary,250,3,0.7189270259905562,0.024083665475353656,0.6590998843467922,0.7787541676343203,0.7617231094637973,0.9438167452955882,0.6658227848101266
fgm,ben_sarc_binary,banglasarc3_binary,500,3,0.7385905048057902,0.005382790015096632,0.7252189131350213,0.7519620964765592,0.7617231094637973,0.9696312158964288,0.7206751054852321
fgm,ben_sarc_binary,banglasarc3_binary,1000,3,0.7453565954879421,0.007508499328571909,0.7267044491474157,0.7640087418284685,0.7617231094637973,0.9785138276986552,0.7409282700421941
fgm,ben_sarc_binary,banglasarc_binary,0,3,0.6101921163766116,0.03550755376847239,0.52198646300944,0.6983977697437833,0.9802348799599623,0.6224958210031609,0.49196787148594373
fgm,ben_sarc_binary,banglasarc_binary,25,3,0.6658913073223787,0.003962238945814568,0.6560485601342368,0.6757340545105205,0.9802348799599623,0.679318111338353,0.4779116465863454
fgm,ben_sarc_binary,banglasarc_binary,50,3,0.7555644983129662,0.010387395809480055,0.7297607766560793,0.7813682199698532,0.9802348799599623,0.7707994418070772,0.6646586345381525
fgm,ben_sarc_binary,banglasarc_binary,100,3,0.8540413817920504,0.01620017882268174,0.8137979066420263,0.8942848569420744,0.9802348799599623,0.8712619794012366,0.8293172690763053
fgm,ben_sarc_binary,banglasarc_binary,250,3,0.8993093531952624,0.022859512127426908,0.8425231770480109,0.9560955293425139,0.9802348799599623,0.9174427186594245,0.8755020080321286
fgm,ben_sarc_binary,banglasarc_binary,500,3,0.9304200492642439,0.019538452909702173,0.8818838415625962,0.9789562569658916,0.9802348799599623,0.94918072013745,0.8895582329317268
fgm,ben_sarc_binary,banglasarc_binary,1000,3,0.9470778015038542,0.02142785960478803,0.8938480473781684,1.00030755562954,0.9802348799599623,0.9661743535820084,0.9096385542168676
